Pandit Deendayal Energy University,,,,,,,,,,,,
School of Technology,,,,,,,,,,,,
B.Tech - Computer Engineering,,,,,,,,,,,,
Semester : 5 (6),,,,,,,,,,,,
"Odd Semester 2026, w.e.f : July 20, 2026[Printed : 13-07-2026]",,,,,,,,,,,,
Day,"08:00 to 08:55 
(Minor)",9.00 to 9. 55,10.00 to 10.55,10:55 to 11:10,11.10 to 12.05,12.10 to 1.05,13:10 to 14:05,2.10 to 3.05,3.10 to 4.05,4:05 to 4:15,4.15 to 5.10,5.15 to 6.10
Monday,MINOR,"G11G12 (24HS301T) F1-303, NAIK-L","G11G12 (24CS335T) F1-304, NIP-L",SHORT BREAK,"G12 (24CS303P) E310, MTH-P",,LUNCH BREAK,,"G11G12 (24CS302T) F1-203, KSL-L",SHORT BREAK,"G11G12 (24CS303T) F1-303, MTH-L",
,,,"G11G12 (24CS333T) F1-303, SVS-L",,"G11 (24CS302P) E216, KSL-P",,,,,,,
,,,"G11G12 (24CS331T) E307, KALG-L",,,,,,,,,
Tuesday,,"G11 (24CS304P) E310, ARNI-P",,,"G11G12 (24CS303T) E203, MTH-L",LUNCH BREAK,"G11G12 (CDC) F1-302, CDCC-L","G11G12 (24CS304T) F1-302, ARNI-L","G11G12 (24CS301T) F1-302, TRP-L",,,
Wednesday,,"G11G12 (24CS302T) E204, KSL-L","G11G12 (24CS304T) E204, ARNI-L",,"G12 (24CS303P) E308, MTH-P",,LUNCH BREAK,"G11G12 (24HS301T) F1-203, NAIK-L","G11G12 (CDC) F1-304, CDCT-L",,"G11G12 (24CS301T) F1-304, TRP-L",
,,,,,"G12 (24CS302P) E216, KSL-P",,,,,,,
Thursday,,"G11G12 (24CS302T) E204, KSL-L","G11G12 (24CS335T) F1-304, NIP-L",,,LUNCH BREAK,"G11G12 (24CS304T) E309, ARNI-L","G11G12 (24CS303T) E203, MTH-L",,,,
,,,"G11G12 (24CS331T) E307, KALG-L",,,,,,,,,
,,,"G11G12 (24CS333T) F1-303, SVS-L",,,,,,,,,
Friday,,"G11G12 (24CS335T) F1-304, NIP-L","G11G12 (24HS301T) E204, NAIK-L",,,,"G11G12 (24CS301T) E309, TRP-L","G12 (24CS304P) E213, ARNI-P",,,,
,,"G11G12 (24CS331T) E307, KALG-L",,,,,,,,,,
,,"G11G12 (24CS333T) F1-303, SVS-L",,,,,,,,,,
Saturday,,,,,,,,,,,,
Faculty Abbr.,,Faculty Name,,,Subject Abbr.,,Subject Name,,,,,
ARNI,,Archana Nigam,,,24CS301T,,Introduction to Artificial Intelligence,,,,,
CDCC,,CD Cell Faculty - Civil,,,24CS302P,,Computer Networks Laboratory,,,,,
CDCT,,CD Cell Trainer,,,24CS302T,,Computer Network,,,,,
KALG,,Kalgi Gandhi,,,24CS303P,,Compiler Design Laboratory,,,,,
KSL,,Ketan Sabale,,,24CS303T,,Compiler Design,,,,,
MTH,,Meera Thapar Khanna,,,24CS304P,,Operating System Laboratory,,,,,
NAIK,,Chuleshwar Naik,,,24CS304T,,Operating System,,,,,
NIP,,Nisarg Patel,,,24CS331T,,Data Mining and Data Warehousing,,,,,
SVS,,Shivangi Surati,,,24CS333T,,Computer Graphics,,,,,
TRP,,Trishna Paul,,,24CS335T,,Advanced Data Structure and Algorithms,,,,,
,,,,,24HS301T,,Engineering Economics,,,,,
,,,,,CDC,,CD CELL,,,,,
,,,,,,,,,,,,
Dr. Santosh Bharti,,,,,Dr. Shakti Mishra,,,,Prof. Anirbid Sircar,,,
Timetable Coordinator,,,,,HoD,,,,Director (School of Technology),,,
